id;serial;serial_time;gtin;mfg_date;exp_date;usable;serial_machine;print_status;print_time;print_machine;verify_status;verify_time;verify_machine;verify_status_1;verify_status_1_time;verify_status_2;verify_status_2_time;verify_status_3;verify_status_3_time;verify_status_4;verify_status_4_time;verify_status_5;verify_status_5_time
76;18041899000075;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
77;18041899000076;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
78;18041895000077;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
79;18041892000078;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
80;18041895000079;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
81;18041895000080;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
82;18041899000081;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
83;18041898000082;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
84;18041898000083;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
85;18041894000084;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
86;18041891000085;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
87;18041891000086;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
88;18041895000087;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
89;18041896000088;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
90;18041892000089;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
91;18041891000090;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
92;18041899000091;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
93;18041897000092;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
94;18041895000093;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
95;18041899000094;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
96;18041898000095;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
97;18041893000096;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
98;18041899000097;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
99;18041894000098;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
100;18041892000099;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
101;18041893000100;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
102;18041891000101;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
103;18041892000102;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
104;18041894000103;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
105;18041899000104;"2020-12-03 17:21:30";06221032150196;180513;210513;T;DESKTOP-TEISUES;F;NULL;NULL;F;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
